Player ID,Player Name,median_pScore,iqr_mean_pScore,total_maps_played,num_appearances
15513303,Znow,1.1251790481480515,1.0978986352401972,113,15
7794488,Reshiram,1.1136359393543862,1.1565211496072703,101,18
8677684,Onta_Bekasi,1.1125911537898427,1.1026049826611914,121,20
13347579,LeMarcinho,1.111889896218363,1.1184666354854793,249,37
13858488,C90,1.1105527475684611,1.099118456778517,42,8
28098890,parponger,1.1105385490406463,1.0848960118120914,182,20
18338179,bagjettka,1.1094046746420883,1.123166049160337,84,17
8501380,Banned or Unavailable,1.108319773550588,1.100001901534417,44,9
10745260,jhleetgirl,1.1079019513550503,1.111436791785886,180,24
18018708,McButt,1.1069991495398293,1.1049768333892294,47,8
14551764,[LS]Mitter,1.1048101274287476,1.136160781788027,81,9
14134289,shokoha,1.100556525040633,1.093250605504283,148,19
18466725,Apol-,1.0976221896337455,1.0995072372637287,19,8
10242062,AFOTHER,1.0942423120593667,1.086654789910472,178,25
14066511,nyasunfanboy,1.0935944924121934,1.0986316872209905,140,15
17699745,_Kiruru,1.0931256145324653,1.105741418935168,91,19
13847951,Dale940,1.0865850589887844,1.1149114940825147,74,10
9895650,XxNewson1234xX,1.082198316288963,1.0649131417625073,210,29
11959687,Freshky,1.0780228624739037,1.0580475525552435,107,12
26233321,[LS]Vixile,1.0772455589834762,1.0971982647889402,144,19
22725724,magnifestio,1.07145362049486,1.0614801413267807,51,11
15625432,[Crz]rebellion,1.0672294966815405,1.0613555934436376,47,8
15763622,Koishi Komeijie,1.0659724855147708,1.0769161724536367,58,8
20496815,4Kenn,1.0648051642998273,1.047240254497056,105,19
15391485,hsod,1.0637784134190147,1.1229552019683742,80,8
8624433,ZayyKen,1.0636872382382805,1.0571265654599837,46,10
11649450,ime,1.0631465037330408,1.0743987145502245,56,11
17494164,ggeexx1,1.063145357836476,1.0405480158008902,103,15
12562107,CPT_Sivelia,1.0587813300164093,1.0784795878405682,94,15
11888159,BaniiYanii,1.0586575869158292,0.9754214925194379,61,9
16055641,Rxizuna,1.0583875905498563,1.0654111650841285,186,23
15772814,Unitori-,1.0572307595379655,1.059284480654181,95,14
15183087,LiangFenFan,1.0566052943040447,0.9850837920092829,132,15
23392961,Darkhechiser,1.0556143668712008,1.070405167697254,66,12
14245127,o_u,1.054985851908458,1.0568402251050457,61,9
